State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
NE,Fillmore County,2256,147708,88,3742,105,4458,17,0.754,2.5,538,653,6.84,80625
GA,Atkinson County,2255,85461,139,5503,176,5186,37,1.641,3.5,495,659,5.75,66524
KS,Washington County,2252,116166,80,3404,95,3444,15,0.666,2.7,524,697,5.7,77715
AR,Newton County,2252,89285,183,6952,175,6383,-8,-0.355,3.4,481,633,6.9,95462
GA,Johnson County,2251,95293,134,4181,141,4464,7,0.311,4.0,538,659,5.75,68333
GA,Jenkins County,2244,91843,165,4795,151,4406,-14,-0.624,5.4,520,659,5.75,62905
SD,Todd County,2236,82736,116,3301,114,3434,-2,-0.089,6.2,575,660,0.0,40199
ID,Caribou County,2233,131678,143,5990,144,7935,1,0.045,2.8,571,697,6.925,143739
MI,Ontonagon County,2232,103646,91,3559,101,4970,10,0.448,7.8,607,697,4.25,75085
SD,Bon Homme County,2215,118190,113,5262,115,4299,2,0.09,2.5,575,660,0.0,83949
AR,Monroe County,2213,85855,176,5430,143,5265,-33,-1.491,4.3,504,644,6.9,56798
KS,Pawnee County,2209,111833,152,5766,87,2972,-65,-2.943,3.2,607,697,5.7,78024
IN,Ohio County,2192,124650,159,7227,171,8325,12,0.547,3.5,691,908,3.23,153609
KS,Greenwood County,2190,105504,98,3703,91,4111,-7,-0.32,3.6,524,697,5.7,63059
IA,Taylor County,2186,104068,136,5725,129,5798,-7,-0.32,2.0,492,654,8.53,80374
ND,McHenry County,2179,125427,125,6160,80,4406,-45,-2.065,3.9,607,697,2.9,118802
IA,Wayne County,2178,115569,102,3962,105,3829,3,0.138,2.7,489,650,8.53,78896
IA,Audubon County,2175,133139,97,4970,92,3426,-5,-0.23,2.4,489,650,8.53,72664
TX,Swisher County,2174,105432,159,8005,171,4078,12,0.552,4.3,524,697,0.0,76046
TN,Moore County,2171,140443,189,7330,224,9280,35,1.612,3.0,498,641,0.0,180724
MN,Lincoln County,2170,126273,128,5213,124,5514,-4,-0.184,3.0,572,761,9.85,102652
AR,Dallas County,2167,101876,148,5252,141,4990,-7,-0.323,4.4,476,633,6.9,67220
NE,Cherry County,2161,123624,140,4955,104,2836,-36,-1.666,2.1,561,703,6.84,126924
TX,Castro County,2157,82218,175,7015,129,5354,-46,-2.133,2.9,634,785,0.0,86250
KS,Ottawa County,2150,112802,147,6867,129,5854,-18,-0.837,2.9,552,734,5.7,101762
OK,Tillman County,2146,93223,134,6829,143,5079,9,0.419,3.7,542,697,5.0,55315
AR,Lee County,2144,123622,169,4454,145,3706,-24,-1.119,4.8,476,633,6.9,69929
MS,Quitman County,2144,72215,144,4102,111,3004,-33,-1.539,7.6,512,681,5.0,53112
NE,Dixon County,2142,117432,141,6260,98,4455,-43,-2.007,3.0,638,848,6.84,94180
TX,Mitchell County,2133,119487,169,7115,143,6830,-26,-1.219,4.4,541,719,0.0,70568
SD,Walworth County,2131,136716,114,4875,90,4350,-24,-1.126,4.9,575,660,0.0,86037
KS,Ellsworth County,2119,116333,125,4567,102,3281,-23,-1.085,2.8,524,697,5.7,91338
SD,Day County,2117,113406,102,3690,101,5022,-1,-0.047,4.2,542,660,0.0,89796
NE,Thurston County,2114,99307,112,3280,112,3589,0,0.0,4.0,491,653,6.84,83804
NE,Boone County,2114,127337,102,4209,86,3512,-16,-0.757,2.2,569,653,6.84,111879
IL,Stark County,2111,125789,109,4329,107,4278,-2,-0.095,6.3,646,824,4.95,84411
WA,Ferry County,2108,111251,177,9220,212,10600,35,1.66,11.7,576,766,0.0,185501
NE,Stanton County,2106,118541,177,7398,150,6390,-27,-1.282,2.5,494,657,6.84,118554
KS,Gray County,2105,123631,116,4485,83,4002,-33,-1.568,2.0,561,728,5.7,121681
ND,Ransom County,2102,136821,101,4319,98,4848,-3,-0.143,1.9,573,762,2.9,122772
KS,Phillips County,2095,98592,150,5897,59,2057,-91,-4.344,2.5,607,697,5.7,79366
CO,Gilpin County,2091,146146,276,17000,341,24651,65,3.109,2.5,1226,1543,4.63,336068
NY,Hamilton County,2082,124074,122,5573,164,9967,42,2.017,6.8,727,839,8.82,175108
SD,Tripp County,2081,102327,68,3318,89,2990,21,1.009,2.6,496,660,0.0,89587
KS,Sherman County,2078,110621,118,4544,123,4677,5,0.241,2.8,577,767,5.7,89068
MO,Sullivan County,2077,84336,160,5321,155,5203,-5,-0.241,3.1,560,745,5.4,81653
MT,Broadwater County,2072,119905,158,8557,229,11936,71,3.427,4.0,639,850,6.9,213669
SD,McCook County,2070,135214,121,5390,135,6411,14,0.676,2.5,681,833,0.0,130368
VA,Bland County,2069,109561,93,4138,117,4663,24,1.16,3.2,517,688,5.75,111811
KY,Cumberland County,2067,81875,104,2988,50,1652,-54,-2.612,4.5,514,646,5.0,95193
GA,Marion County,2059,95463,155,6067,163,5803,8,0.389,5.1,742,891,5.75,90172
CO,Rio Blanco County,2054,138404,175,9920,162,8816,-13,-0.633,4.4,662,854,4.63,224488
GA,Wilcox County,2052,83202,116,4130,111,3603,-5,-0.244,5.2,574,659,5.75,74293
KS,Morris County,2047,110628,102,4362,129,6140,27,1.319,2.8,580,697,5.7,98150
MT,Powell County,2046,117532,170,6867,156,7126,-14,-0.684,4.1,607,697,6.9,154499
MO,Atchison County,2036,118898,118,4343,74,2629,-44,-2.161,2.5,495,651,5.4,86172
