State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
TN,Coffee County,18882,1062962,1505,69866,1807,77930,302,1.599
WI,Vilas County,9209,549646,641,39339,788,58729,147,1.596
ID,Lincoln County,1505,70628,112,3891,136,5779,24,1.595
TN,Cheatham County,14691,925454,1322,69308,1556,82557,234,1.593
KY,Allen County,6156,295353,377,13368,475,18808,98,1.592
WA,Clark County,175569,15439902,11605,755339,14398,966959,2793,1.591
VA,Powhatan County,10628,1002140,738,51039,907,71800,169,1.59
CO,Broomfield County,23522,2694139,4751,359012,5125,381334,374,1.59
OK,Wagoner County,24142,1642001,2613,130282,2996,165050,383,1.586
TN,Hancock County,1833,68019,79,2117,108,4251,29,1.582
CO,Las Animas County,4627,226234,351,14630,424,17664,73,1.578
FL,Baker County,8193,458930,509,20413,638,29572,129,1.575
MS,DeSoto County,61296,3917758,4877,234309,5835,272763,958,1.563
TN,Macon County,7484,344199,485,15378,602,21457,117,1.563
MI,Benzie County,7048,410484,557,28638,667,44076,110,1.561
SD,Butte County,3657,192376,316,13430,373,13669,57,1.559
WA,Pend Oreille County,4173,370781,398,21703,463,28861,65,1.558
AZ,Gila County,16962,872935,1215,58993,1477,87616,262,1.545
WY,Lincoln County,6474,516503,454,28933,554,39794,100,1.545
CA,Amador County,13491,940576,911,49443,1119,71015,208,1.542
WI,Burnett County,6300,331278,398,17749,495,31912,97,1.54
IN,Benton County,3188,161979,225,8079,274,10285,49,1.537
TN,Cocke County,11853,477728,675,21261,857,29190,182,1.535
VA,Fluvanna County,9583,674777,776,46051,923,57748,147,1.534
MI,Roscommon County,8874,426160,747,30284,883,45250,136,1.533
CO,Denver County,254974,25477696,40481,2667509,44384,3124332,3903,1.531
TN,Morgan County,5883,288302,341,12289,431,15569,90,1.53
NV,Washoe County,178496,16003020,10402,693684,13133,1186613,2731,1.53
WA,Skagit County,46815,3477003,3236,195397,3950,308919,714,1.525
TN,Rutherford County,109020,7204142,9790,500433,11453,535217,1663,1.525
TX,Mason County,1508,86725,90,4372,113,7504,23,1.525
AL,Cherokee County,7440,370732,441,17422,554,28923,113,1.519
AR,Stone County,3622,149451,200,7043,255,9075,55,1.518
FL,Columbia County,21202,1066727,1623,63483,1944,79545,321,1.514
TX,Lampasas County,6959,428772,683,30342,788,43115,105,1.509
AR,Izard County,3672,168306,282,9896,337,13064,55,1.498
WA,Spokane County,186604,13175234,9669,494530,12461,719550,2792,1.496
WA,Douglas County,14266,904307,1420,70427,1632,88742,212,1.486
