INTPTLAT,INTPTLNG,COUNTY NAME,USPS
41.343341,-88.885931,LaSalle County,IL
38.718954,-87.730221,Lawrence County,IL
41.747447,-89.299362,Lee County,IL
40.894376,-88.552852,Livingston County,IL
40.129277,-89.365309,Logan County,IL
40.455808,-90.678954,McDonough County,IL
42.324298,-88.452245,McHenry County,IL
40.494559,-88.844539,McLean County,IL
39.860237,-88.961529,Macon County,IL
39.265914,-89.92633,Macoupin County,IL
38.82712,-89.900227,Madison County,IL
38.648236,-88.920362,Marion County,IL
41.031119,-89.342371,Marshall County,IL
40.236993,-89.913575,Mason County,IL
37.216119,-88.705658,Massac County,IL
40.022569,-89.794133,Menard County,IL
41.205605,-90.74177,Mercer County,IL
38.277983,-90.179078,Monroe County,IL
39.228068,-89.478141,Montgomery County,IL
39.717668,-90.205005,Morgan County,IL
39.636896,-88.625726,Moultrie County,IL
42.041884,-89.320176,Ogle County,IL
40.785972,-89.766993,Peoria County,IL
38.084381,-89.368525,Perry County,IL
40.009033,-88.592355,Piatt County,IL
39.625106,-90.889034,Pike County,IL
37.417169,-88.542374,Pope County,IL
37.215615,-89.127755,Pulaski County,IL
41.198961,-89.298347,Putnam County,IL
38.056515,-89.82121,Randolph County,IL
38.712187,-88.085452,Richland County,IL
41.468421,-90.572125,Rock Island County,IL
38.470198,-89.928546,St. Clair County,IL
37.751508,-88.545024,Saline County,IL
39.756867,-89.662425,Sangamon County,IL
